#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
1.1747680000e+02	5.3484477847e-01	9.6900520058e-07                 	8.9339115193e-07                 	7.5614048641e-08                 	9.2196734486e-01                 	-3.2243653330e-01                
1.2131940000e+02	5.1790441654e-01	8.5869818747e-07                 	7.8522511678e-07                 	7.3473070686e-08                 	9.1443667664e-01                 	-3.2647115246e-01                
1.2528770000e+02	5.0150057086e-01	7.6130024212e-07                 	6.8982861316e-07                 	7.1471628962e-08                 	9.0611899878e-01                 	-3.3028721068e-01                
1.2938580000e+02	4.8561629693e-01	6.7539939751e-07                 	6.0580109589e-07                 	6.9598301620e-08                 	8.9695237829e-01                 	-3.3389439236e-01                
1.3361790000e+02	4.7023529835e-01	5.9970540943e-07                 	5.3186331591e-07                 	6.7842093522e-08                 	8.8687430119e-01                 	-3.3730202799e-01                
1.3798850000e+02	4.5534122823e-01	5.3304666192e-07                 	4.6685413275e-07                 	6.6192529168e-08                 	8.7582226117e-01                 	-3.4051927520e-01                
1.4250200000e+02	4.4091909638e-01	4.7437274852e-07                 	4.0973292932e-07                 	6.4639819200e-08                 	8.6373622979e-01                 	-3.4355481735e-01                
1.4716320000e+02	4.2695356632e-01	4.2274043388e-07                 	3.5956561565e-07                 	6.3174818238e-08                 	8.5055884611e-01                 	-3.4641723180e-01                
1.5197680000e+02	4.1343055698e-01	3.7731229907e-07                 	3.1552314535e-07                 	6.1789153726e-08                 	8.3623869702e-01                 	-3.4911465338e-01                
1.5694790000e+02	4.0033573607e-01	3.3734274927e-07                 	2.7686746593e-07                 	6.0475283346e-08                 	8.2073044856e-01                 	-3.5165506493e-01                
1.6208160000e+02	3.8765568129e-01	3.0217308155e-07                 	2.4294684870e-07                 	5.9226232851e-08                 	8.0399897785e-01                 	-3.5404609250e-01                
1.6738320000e+02	3.7537729636e-01	2.7122123359e-07                 	2.1318545288e-07                 	5.8035780710e-08                 	7.8602051196e-01                 	-3.5629509665e-01                
1.7285820000e+02	3.6348783611e-01	2.4397386606e-07                 	1.8707552166e-07                 	5.6898344408e-08                 	7.6678508512e-01                 	-3.5840917870e-01                
1.7851240000e+02	3.5197472597e-01	2.1997852061e-07                 	1.6416966311e-07                 	5.5808857495e-08                 	7.4629860524e-01                 	-3.6039518377e-01                
1.8435140000e+02	3.4082655771e-01	1.9883884789e-07                 	1.4407593595e-07                 	5.4762911937e-08                 	7.2458645522e-01                 	-3.6225957603e-01                
1.9038150000e+02	3.3003129543e-01	1.8020465675e-07                 	1.2644818948e-07                 	5.3756467271e-08                 	7.0169213027e-01                 	-3.6400869633e-01                
1.9660870000e+02	3.1957819299e-01	1.6376999171e-07                 	1.1098400368e-07                 	5.2785988029e-08                 	6.7768217193e-01                 	-3.6564847908e-01                
2.0303970000e+02	3.0945599837e-01	1.4926503553e-07                 	9.7416722712e-08                 	5.1848312822e-08                 	6.5264261227e-01                 	-3.6718472051e-01                
2.0968100000e+02	2.9965448978e-01	1.3645395219e-07                 	8.5513359381e-08                 	5.0940592811e-08                 	6.2668290663e-01                 	-3.6862286493e-01                
2.1653960000e+02	2.9016333766e-01	1.2512940924e-07                 	7.5069035299e-08                 	5.0060373938e-08                 	5.9993118929e-01                 	-3.6996815325e-01                
2.2362250000e+02	2.8097285860e-01	1.1510989417e-07                 	6.5904457170e-08                 	4.9205437004e-08                 	5.7253512084e-01                 	-3.7122554647e-01                
2.3093710000e+02	2.7207344802e-01	1.0623602902e-07                 	5.7862189898e-08                 	4.8373839126e-08                 	5.4465693447e-01                 	-3.7239979394e-01                
2.3849090000e+02	2.6345597703e-01	9.8368196205e-08                 	5.0804363990e-08                 	4.7563832215e-08                 	5.1647144047e-01                 	-3.7349538782e-01                
2.4629190000e+02	2.5511132551e-01	9.1383763093e-08                 	4.4609893299e-08                 	4.6773869794e-08                 	4.8815995084e-01                 	-3.7451663304e-01                
2.5434800000e+02	2.4703104830e-01	8.5175536492e-08                 	3.9172908191e-08                 	4.6002628301e-08                 	4.5990797129e-01                 	-3.7546756100e-01                
2.6266760000e+02	2.3920671248e-01	7.9649248609e-08                 	3.4400405190e-08                 	4.5248843420e-08                 	4.3189867815e-01                 	-3.7635203511e-01                
2.7125930000e+02	2.3163022640e-01	7.4722356075e-08                 	3.0210891338e-08                 	4.4511464737e-08                 	4.0430860221e-01                 	-3.7717370638e-01                
2.8013200000e+02	2.2429373678e-01	7.0322452707e-08                 	2.6532900120e-08                 	4.3789552587e-08                 	3.7730339456e-01                 	-3.7793602101e-01                
2.8929500000e+02	2.1718955762e-01	6.6385946682e-08                 	2.3303728693e-08                 	4.3082217990e-08                 	3.5103406454e-01                 	-3.7864226593e-01                
2.9875770000e+02	2.1031040563e-01	6.2857206133e-08                 	2.0468460546e-08                 	4.2388745587e-08                 	3.2563427179e-01                 	-3.7929551397e-01                
3.0852990000e+02	2.0364915385e-01	5.9687320715e-08                 	1.7978895929e-08                 	4.1708424785e-08                 	3.0121800935e-01                 	-3.7989869146e-01                
3.1862180000e+02	1.9719885165e-01	5.6833419525e-08                 	1.5792740973e-08                 	4.1040678553e-08                 	2.7787771886e-01                 	-3.8045455846e-01                
3.2904380000e+02	1.9095285513e-01	5.4257895833e-08                 	1.3872924365e-08                 	4.0384971469e-08                 	2.5568489437e-01                 	-3.8096570991e-01                
3.3980660000e+02	1.8490474603e-01	5.1927695786e-08                 	1.2186924009e-08                 	3.9740771777e-08                 	2.3469025199e-01                 	-3.8143459763e-01                
3.5092160000e+02	1.7904812092e-01	4.9813846115e-08                 	1.0706156054e-08                 	3.9107690061e-08                 	2.1492329722e-01                 	-3.8186353845e-01                
3.6240000000e+02	1.7337707801e-01	4.7890925609e-08                 	9.4056138950e-09                 	3.8485311714e-08                 	1.9639657775e-01                 	-3.8225470639e-01                
3.7425400000e+02	1.6788558859e-01	4.6136556133e-08                 	8.2632802818e-09                 	3.7873275851e-08                 	1.7910483518e-01                 	-3.8261015642e-01                
3.8649560000e+02	1.6256809410e-01	4.4531150864e-08                 	7.2598913198e-09                 	3.7271259544e-08                 	1.6302950135e-01                 	-3.8293181137e-01                
3.9913770000e+02	1.5741898866e-01	4.3057465575e-08                 	6.3784958903e-09                 	3.6678969685e-08                 	1.4813913929e-01                 	-3.8322148991e-01                
4.1219330000e+02	1.5243298004e-01	4.1700397040e-08                 	5.6042395535e-09                 	3.6096157487e-08                 	1.3439295430e-01                 	-3.8348090071e-01                
4.2567590000e+02	1.4760491038e-01	4.0446610124e-08                 	4.9240760987e-09                 	3.5522534025e-08                 	1.2174261535e-01                 	-3.8371163978e-01                
4.3959960000e+02	1.4292973213e-01	3.9284455306e-08                 	4.3265455432e-09                 	3.4957909763e-08                 	1.1013377962e-01                 	-3.8391521476e-01                
4.5397870000e+02	1.3840264548e-01	3.8203639235e-08                 	3.8015976785e-09                 	3.4402041557e-08                 	9.9508783839e-02                 	-3.8409303772e-01                
4.6882810000e+02	1.3401895721e-01	3.7195162428e-08                 	3.3404022111e-09                 	3.3854760216e-08                 	8.9807437125e-02                 	-3.8424643545e-01                
4.8416330000e+02	1.2977409290e-01	3.6251071951e-08                 	2.9352028010e-09                 	3.3315869150e-08                 	8.0968717420e-02                 	-3.8437664807e-01                
5.0000000000e+02	1.2566370614e-01	3.5364396234e-08                 	2.5791960555e-09                 	3.2785200179e-08                 	7.2931997437e-02                 	-3.8448483762e-01                
